54, 86
67, 99
96, 131
126, 166
152, 204
154, 214
140, 219
130, 221
114, 221
105, 210
105, 203
109, 195
121, 182
146, 169
158, 167
183, 167
190, 167
206, 174
227, 194
240, 217
247, 230
251, 247
252, 255
252, 258
247, 261
240, 263
223, 263
212, 259
193, 248
178, 241
147, 231
141, 230
123, 229
117, 229
109, 231
96, 243
91, 253
88, 269
87, 282
108, 316
124, 328
137, 333
148, 308
154, 271
173, 207
211, 164
258, 157
302, 171
330, 218
336, 282
335, 295
263, 352
218, 355
186, 348
168, 324
164, 263
197, 205
229, 200
320, 263
330, 296
320, 367
291, 389
241, 395
206, 377
187, 333
194, 273
220, 251
266, 246
303, 273
312, 334
290, 392
243, 414
210, 401
175, 319
204, 235
258, 206
344, 217
383, 267
378, 328
318, 425
250, 442
201, 394
196, 308
266, 258
346, 262
383, 307
360, 353
274, 407
231, 414
191, 407
139, 379
119, 363
102, 339
94, 314
94, 288
105, 264
112, 251
115, 249
112, 266
92, 380
84, 481
83, 517
83, 521
84, 454
107, 302
130, 249
175, 228
223, 376
227, 427
229, 451
242, 357
246, 343
269, 281
285, 324
290, 421
292, 454
293, 368
285, 301
257, 265
221, 345
202, 434
205, 456
240, 365
256, 270
251, 245
220, 283
183, 394
200, 381
225, 337
233, 313
234, 312
229, 323
225, 332
225, 331
230, 306
246, 252
260, 212
271, 188
298, 160
327, 162
373, 239
381, 299
363, 329
292, 323
233, 300
171, 284
146, 289
133, 362
144, 423
160, 451
182, 368
180, 336
180, 295
204, 240
242, 224
312, 254
364, 344
366, 434
346, 456
317, 458
193, 407
147, 407
129, 488
147, 511
200, 532
275, 436
276, 412
276, 392
258, 295
266, 253
334, 223
411, 259
443, 334
443, 357
431, 362
337, 319
267, 292
217, 287
189, 298
156, 395
175, 481
228, 526
253, 511
261, 468
245, 379
237, 330
242, 271
264, 245
349, 243
414, 304
418, 349
383, 397
282, 422
200, 418
168, 410
154, 385
178, 347
232, 318
286, 319
291, 323
308, 404
254, 426
248, 423
232, 403
223, 364
223, 342
227, 330
233, 328
240, 335
241, 371
230, 404
210, 413
184, 389
178, 357
179, 332
200, 300
214, 288
234, 282
249, 283
256, 291
250, 323
216, 368
211, 372
171, 387
159, 385
155, 377
154, 364
164, 347
188, 328
219, 318
245, 319
248, 322
250, 355
229, 374
208, 380
196, 382
191, 382
190, 382
190, 381
190, 381
191, 378
201, 361
224, 342
237, 337
269, 422
239, 450
205, 443
179, 408
170, 326
198, 249
259, 215
319, 220
350, 253
348, 298
321, 334
253, 357
201, 327
187, 266
197, 204
234, 172
275, 170
331, 230
326, 325
296, 369
242, 389
214, 371
210, 359
226, 261
299, 242
331, 261
351, 305
334, 349
319, 357
243, 365
216, 370
198, 376
199, 378
218, 381
238, 372
252, 315
250, 242
242, 222
231, 208
207, 206
183, 221
176, 244
179, 266
168, 251
126, 199
92, 162
82, 150
80, 146
80, 141
79, 124
78, 102
78, 89
78, 88
78, 85
78, 84
78, 84
